var,source,varname,Format,Source_Name,Source_Link,Description,Unit of Measure,Section,Subsection,Subsection2,tcdata360_id
no_techs,crunchb.data,Number of tech startups,Numeric,Crunchbase 2013 Snapshot,https://data.crunchbase.com/docs/2013-snapshot,Data on number of registered tech startups in the given market as listed on CrunchBase,number per million pop,Culture,table1,figure1,3110
EOSQ118,GCI.data,Company spending on R&D,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,To what extent do companies in your country spend on R&D? [1 = do not spend on R&D; 7 = spend heavily on R&D],1-7 = best,Culture,table1,,601
Media.Attention.for.Entrepreneurship,GEM.data,Media Attention for Entrepreneurship,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,"Percentage of 18-64 population who agree with the statement that in their country, you will often see stories in the public media about successful new businesses",% of 18-64 population,Culture,table1,,3113
Total.early.stage.Entrepreneurial.Activity..TEA,GEM.data,Total early-stage Entrepreneurial Activity (TEA),Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,Percentage of 18-64 population who are either a nascent entrepreneur or owner-manager of a new business,% of 18-64 population,Culture,table1,,3116
Fear.of.Failure.Rate,GEM.data,Fear of Failure Rate,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,Percentage of 18-64 population with positive perceived opportunities who indicate that fear of failure would prevent them from setting up a business,% of 18-64 population,Culture,table1,,3108
Perceived.Capabilities,GEM.data,Perceived Capabilities,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,Percentage of 18-64 population who believe to have the required skills and knowledge to start a business,% of 18-64 population,Culture,table1,,3106
New.Product.early.stage.Entrepreneurial.Activity,GEM.data,New Product early-stage Entrepreneurial Activity,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,Percentage of TEA who indicate that their product or service is new to at least some customers,% of Total early-stage Entrepreneurial Active population,Culture,table1,,3124
High.Status.Successful.Entrepreneurship,GEM.data,High Status Successful Entrepreneurship,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,"Percentage of 18-64 population who agree with the statement that in their country, successful entrepreneurs receive high status",% of 18-64 population,Culture,table1,,3112
Improvement.Driven.Opportunity.Entrepreneurial.Activity..Relative.Prevalence,GEM.data,Improvement-Driven Opp. Entrepreneurial Activity: Rel. Prevalence,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,"Percentage of those involved in TEA who (i) claim to be driven by opportunity as opposed to finding no other option for work; and (ii) who indicate the main driver for being involved in this opportunity is being independent or increasing their income, rather than just maintaining their income",% of Total early-stage Entrepreneurial Active population,Culture,table1,,3119
IC.BUS.NDNS.ZS,WB.data,New business density,Numeric,World Bank Data,http://data.worldbank.org/,New businesses registered are the number of new limited liability corporations registered in the calendar year.,"new registrations per 1,000 people ages 15-64",Markets,table1,,1888
BX.GSR.CCIS.ZS,WB.data,ICT service exports,Percentage,World Bank Data,http://data.worldbank.org/,Information and communication technology service exports include computer and communications services (telecommunications and postal and courier services) and information services (computer data and news-related service transactions),"% of service exports, BoP",Markets,table1,,1748
Percent.of.firms.with.a.bank.loan.line.of.credit,ent_sur.data,% firms with a bank loan/line of credit,Percentage,Enterprise Survey,http://www.enterprisesurveys.org/data/exploretopics/finance,"Access to finance is a major concern in many developing countries. This topic includes several indicators assessing credit sources, loan requirements, and access to financial services. The fifteen indicators on this page measure the availability of financing in 135 countries. The results are based on surveys of more than 130,000 firms.‘_",% of firms,Finance,table2,,214
Percent.of.firms.identifying.access.to.finance.as.a.major.constraint,ent_sur.data,% of firms identifying access to finance as major constraint,Percentage,Enterprise Survey,http://www.enterprisesurveys.org/data/exploretopics/finance,"Access to finance is a major concern in many developing countries. This topic includes several indicators assessing credit sources, loan requirements, and access to financial services. The fifteen indicators on this page measure the availability of financing in 135 countries. The results are based on surveys of more than 130,000 firms.‘_",% of firms,Finance,table2,,227
EOSQ070,GCI.data,FDI and technology transfer,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,To what extent does foreign direct investment (FDI) bring new technology into your country? [1 = not at all; 7 = FDI is a key source of new technology],1-7 = best,Finance,,,717
EOSQ089,GCI.data,Venture capital availability,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,availability of venture capital (scored 1-7) by market,1-7 = best,Finance,line2,figure6,529
Informal.Investors.Rate,GEM.data,Informal Investors Rate,Percentage,Global Entrepreneurship Monitor _„_ Adult Population Survey,http://www.gemconsortium.org/data/sets,"Percentage of 18-64 population who have personally provided funds for a new business, started by someone else, in the past three years",% of 18-64 population,Finance,figure2,,3122
FR.INR.LEND,WB.data,Lending interest rates,Percentage,World Bank Data,http://data.worldbank.org/,"Many interest rates coexist in an economy, reflecting competitive conditions, the terms governing loans and deposits, and differences in the position and status of creditors and debtors. In some economies interest rates are set by regulation or administrative fiat. In economies with imperfect markets, or where reported nominal rates are not indicative of effective rates, it may be difficult to obtain data on interest rates that reflect actual market transactions.",% interest rate,Finance,,,1546
CM.MKT.LCAP.GD.ZS,WB.data,Market capitalization of listed companies,Percentage,World Bank Data,http://data.worldbank.org/,"Market capitalization (also known as market value) is the share price times the number of shares outstanding. Listed domestic companies are the domestically incorporated companies listed on the country's stock exchanges at the end of the year. Listed companies does not include investment companies, mutual funds, or other collective investment vehicles.",% of GDP,Finance,table1,figureFin3,1550
IE.PPI.TELE.CD,WB.data,Investment in telecoms with private participation,Percentage,World Bank Data,http://data.worldbank.org/,"Investment in telecom projects with private participation covers infrastructure projects in telecommunications that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects are excluded. The types of projects included are operations and management contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data are in current U.S. dollars.","current US$, as % GDP",Finance,table1,figureFin2,786
BN.KLT.DINV.CD,WB.data,"Foreign direct investment, net",Percentage,World Bank Data,http://data.worldbank.org/,"Foreign direct investment is net inflows of investment to acquire a lasting management interest (10 percent or more of voting stock) in an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows total net, that is, net FDI in the reporting economy from foreign sources less net FDI by the reporting economy to the rest of the world. Data are in current U.S. dollars.","BoP, current US$, as % GDP",Finance,table1,figureFin1,1541
EOSQ072,GCI.data,University-industry collaboration in R&D,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,To what extent do business and universities collaborate on research and development (R&D) in your country? [1 = do not collaborate at all; 7 = collaborate extensively],1-7 = best,Human capital,bar1,,603
EOSQ130,GCI.data,Quality of math and science education,7-Jan,World Economic Forum Global Competitiveness Report,http://www3.weforum.org/docs/gcr/2015-2016/GCI_Dataset_2006-2015.xlsx,How would you assess the quality of math and science education in your country's schools? [1 = poor; 7 = excellent - among the best in the world],1-7 = best,Human capital,bar1,,569
